pick,n_bets,pnl,roi,ev
A,150,-1464.0,-0.0976,-2.876185513413194
D,150,-2865.0,-0.191,-2.8761855134131946
H,150,1723.9999999999998,0.11493333333333332,-2.8761855134131955
